Raw Name,Clean Name,Rotation,Side
Brain1_AS_L_2022_07_17__13_02_43_Airyscan Processing-OME TIFF-Export-01.ome.tiff,Brain1_AS_L_2022_07_17__13_02_43_RIGHT.nrrd,0,Right
Brain1_AS_R_2022_07_17__12_49_45_Airyscan Processing-OME TIFF-Export-02.ome.tiff,Brain1_AS_R_2022_07_17__12_49_45_LEFT.nrrd,-10.6,Left
Brain2_AS_L_2022_07_17__13_11_33_Out-OME TIFF-Export-03.ome.tiff,Brain2_AS_L_2022_07_17_13_11_33_RIGHT.nrrd,0,Right
Brain2_AS_R_2022_07_17__13_20_55_Out-OME TIFF-Export-04.ome.tiff,Brain2_AS_R_2022_07_17_13_20_55_LEFT.nrrd,0,Left
Brain7_AS_L_2022_07_17__14_06_28_Out-OME TIFF-Export-08.ome.tiff,Brain7_AS_L_2022_07_17_14_06_28_RIGHT.nrrd,0,Right
Brain7_AS_R_2022_07_17__14_15_03_Out-OME TIFF-Export-09.ome.tiff,Brain7_AS_R_2022_07_17_14_15_03_LEFT.nrrd,0,Left
Brain3_AS_2022_07_17__13_29_49_Out-OME TIFF-Export-05.ome.tiff,Brain3_AS_2022_07_17_13_29_49_LEFT.nrrd,6.3,Left
Brain3_AS_2022_07_17__13_29_49_Out-OME TIFF-Export-05.ome.tiff,Brain3_AS_2022_07_17_13_29_49_RIGHT.nrrd,6.3,Right
Brain4_AS_2022_07_17__13_40_21_Out-OME TIFF-Export-06.ome.tiff,Brain4_AS_2022_07_17_13_40_21_LEFT.nrrd,0,Left
Brain4_AS_2022_07_17__13_40_21_Out-OME TIFF-Export-06.ome.tiff,Brain4_AS_2022_07_17_13_40_21_RIGHT.nrrd,0,Right
Brain6_AS_2022_07_17__13_53_39_Out-OME TIFF-Export-07.ome.tiff,Brain6_AS_2022_07_17_13_53_39_LEFT.nrrd,-15.3,Left
Brain6_AS_2022_07_17__13_53_39_Out-OME TIFF-Export-07.ome.tiff,Brain6_AS_2022_07_17_13_53_39_RIGHT.nrrd,-15.3,Right
